R00001	polyphosphate polyphosphohydrolase	C00404 + C00001	C02174	C00404 + n C00001 <=> (n+1) C02174	polyphosphate polyphosphohydrolase; Polyphosphate + n H2O <=> (n+1) Oligophosphate	Polyphosphate + n H2O <=> (n+1) Oligophosphate
R00014	pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating)	C00022 + C00068	C05125 + C00011	C00022 + C00068 <=> C05125 + C00011	pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating); Pyruvate + Thiamin diphosphate <=> 2-(alpha-Hydroxyethyl)thiamine diphosphate + CO2	Pyruvate + Thiamin diphosphate <=> 2-(alpha-Hydroxyethyl)thiamine diphosphate + CO2
R00015	sucrose:sucrose 1'-beta-D-fructosyltransferase;	C00089	C00031 + C03661	2 C00089 <=> C00031 + C03661	sucrose:sucrose 1'-beta-D-fructosyltransferase; sucrose:sucrose 1F-beta-D-fructosyltransferase; 2 Sucrose <=> D-Glucose + 1F-beta-D-Fructosylsucrose	2 Sucrose <=> D-Glucose + 1F-beta-D-Fructosylsucrose
R00017	ferrocytochrome-c:hydrogen-peroxide oxidoreductase	C00027 + C00126	C00125 + C00001	C00027 + 2 C00126 <=> 2 C00125 + 2 C00001	ferrocytochrome-c:hydrogen-peroxide oxidoreductase; Hydrogen peroxide + 2 Ferrocytochrome c <=> 2 Ferricytochrome c + 2 H2O	Hydrogen peroxide + 2 Ferrocytochrome c <=> 2 Ferricytochrome c + 2 H2O
R00018	putrescine:putrescine 4-aminobutyltransferase (ammonia-forming)	C00134	C06366 + C00014	2 C00134 <=> C06366 + C00014	putrescine:putrescine 4-aminobutyltransferase (ammonia-forming); 2 Putrescine <=> sym-Homospermidine + Ammonia	2 Putrescine <=> sym-Homospermidine + Ammonia
R00019	hydrogen:ferredoxin oxidoreductase;	C00138 + C00080	C00282 + C00139	2 C00138 + 2 C00080 <=> C00282 + 2 C00139	hydrogen:ferredoxin oxidoreductase; reduced ferredoxin:H+ oxidoreductase; 2 Reduced ferredoxin + 2 H+ <=> Hydrogen + 2 Oxidized ferredoxin	2 Reduced ferredoxin + 2 H+ <=> Hydrogen + 2 Oxidized ferredoxin
R00021	L-glutamate:ferredoxin oxidoreductase (transaminating)	C00025 + C00139	C00064 + C00026 + C00138 + C00080	2 C00025 + 2 C00139 <=> C00064 + C00026 + 2 C00138 + 2 C00080	L-glutamate:ferredoxin oxidoreductase (transaminating); 2 L-Glutamate + 2 Oxidized ferredoxin <=> L-Glutamine + 2-Oxoglutarate + 2 Reduced ferredoxin + 2 H+	2 L-Glutamate + 2 Oxidized ferredoxin <=> L-Glutamine + 2-Oxoglutarate + 2 Reduced ferredoxin + 2 H+
R00022	chitobiose N-acetylglucosaminohydrolase	C01674 + C00001	C00140	C01674 + C00001 <=> 2 C00140	chitobiose N-acetylglucosaminohydrolase; Chitobiose + H2O <=> 2 N-Acetyl-D-glucosamine	Chitobiose + H2O <=> 2 N-Acetyl-D-glucosamine
R00023	hydroxylamine:NAD+ oxidoreductase;	C00192 + C00003	C01818 + C00004 + C00080	2 C00192 + 2 C00003 <=> C01818 + 2 C00004 + 2 C00080	hydroxylamine:NAD+ oxidoreductase; NADH:hyponitrite oxidoreductase; 2 Hydroxylamine + 2 NAD+ <=> Hyponitrite + 2 NADH + 2 H+	2 Hydroxylamine + 2 NAD+ <=> Hyponitrite + 2 NADH + 2 H+
R00024	3-phospho-D-glycerate carboxy-lyase (dimerizing; D-ribulose-1,5-bisphosphate-forming)	C01182 + C00011 + C00001	C00197	C01182 + C00011 + C00001 <=> 2 C00197	3-phospho-D-glycerate carboxy-lyase (dimerizing; D-ribulose-1,5-bisphosphate-forming); D-Ribulose 1,5-bisphosphate + CO2 + H2O <=> 2 3-Phospho-D-glycerate	D-Ribulose 1,5-bisphosphate + CO2 + H2O <=> 2 3-Phospho-D-glycerate
R00025	ethylnitronate:oxygen 2-oxidoreductase (nitrite-forming)	C18091 + C00007 + C01847	C00084 + C00088 + C00061 + C00001	C18091 + C00007 + C01847 <=> C00084 + C00088 + C00061 + C00001	ethylnitronate:oxygen 2-oxidoreductase (nitrite-forming); Ethylnitronate + Oxygen + Reduced FMN <=> Acetaldehyde + Nitrite + FMN + H2O	Ethylnitronate + Oxygen + Reduced FMN <=> Acetaldehyde + Nitrite + FMN + H2O
R00026	cellobiose glucohydrolase	C00185 + C00001	C00221	C00185 + C00001 <=> 2 C00221	cellobiose glucohydrolase; Cellobiose + H2O <=> 2 beta-D-Glucose	Cellobiose + H2O <=> 2 beta-D-Glucose
R00027	2-hydroxy-1,2-diphenylethanone benzaldehyde-lyase (benzaldehyde-forming)	C01408	C00261	C01408 <=> 2 C00261	2-hydroxy-1,2-diphenylethanone benzaldehyde-lyase (benzaldehyde-forming); Benzoin <=> 2 Benzaldehyde	Benzoin <=> 2 Benzaldehyde
R00028	maltose glucohydrolase	C00208 + C00001	C00031	C00208 + C00001 <=> 2 C00031	maltose glucohydrolase; Maltose + H2O <=> 2 D-Glucose	Maltose + H2O <=> 2 D-Glucose
R00029	thiosulfate:ferricytochrome-c oxidoreductase	C00320 + C00125	C02084 + C00126	2 C00320 + 2 C00125 <=> C02084 + 2 C00126	thiosulfate:ferricytochrome-c oxidoreductase; 2 Thiosulfate + 2 Ferricytochrome c <=> Tetrathionate + 2 Ferrocytochrome c	2 Thiosulfate + 2 Ferricytochrome c <=> Tetrathionate + 2 Ferrocytochrome c
R00031	1,2-benzenediol:oxygen oxidoreductase	C00007 + C00082	C00355	C00007 + 2 C00082 <=> 2 C00355	1,2-benzenediol:oxygen oxidoreductase; Oxygen + 2 L-Tyrosine <=> 2 3,4-Dihydroxy-L-phenylalanine	Oxygen + 2 L-Tyrosine <=> 2 3,4-Dihydroxy-L-phenylalanine
R00032	beta-carotene:oxygen 15,15'-oxidoreductase (bond-cleaving)	C02094 + C00007	C00376	C02094 + C00007 <=> 2 C00376	beta-carotene:oxygen 15,15'-oxidoreductase (bond-cleaving); beta-Carotene + Oxygen <=> 2 Retinal	beta-Carotene + Oxygen <=> 2 Retinal
R00033	thiamine:oxygen 5-oxidoreductase	C00378 + C00007	C00027 + C05856	C00378 + C00007 <=> C00027 + C05856	thiamine:oxygen 5-oxidoreductase; Thiamine + Oxygen <=> Hydrogen peroxide + Thiamine aldehyde	Thiamine + Oxygen <=> Hydrogen peroxide + Thiamine aldehyde
R00034	cyclobutadipyrimidine (in DNA) pyrimidine-lyase	C03103	C08249	C03103 <=> 2 C08249	cyclobutadipyrimidine (in DNA) pyrimidine-lyase; Cyclobutadipyrimidine <=> 2 Pyrimidine 5'-deoxynucleotide	Cyclobutadipyrimidine <=> 2 Pyrimidine 5'-deoxynucleotide
R00036	5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming)	C00430	C00931 + C00001	2 C00430 <=> C00931 + 2 C00001	5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming); 2 5-Aminolevulinate <=> Porphobilinogen + 2 H2O	2 5-Aminolevulinate <=> Porphobilinogen + 2 H2O
R00038	4-hydroxy-3-hexanone propanal-lyase (propanal-forming)	C00479	C02948	2 C00479 <=> C02948	4-hydroxy-3-hexanone propanal-lyase (propanal-forming); 2 Propanal <=> 4-Hydroxyhexan-3-one	2 Propanal <=> 4-Hydroxyhexan-3-one
R00039	raffinose:raffinose 1F-alpha-D-galactosyltransferase	C00492	C08242 + C00089	2 C00492 <=> C08242 + C00089	raffinose:raffinose 1F-alpha-D-galactosyltransferase; 2 Raffinose <=> Lychnose + Sucrose	2 Raffinose <=> Lychnose + Sucrose
R00041	long-chain-alcohol:oxygen oxidoreductase	C00339 + C00007	C00609 + C00001	2 C00339 + C00007 <=> 2 C00609 + 2 C00001	long-chain-alcohol:oxygen oxidoreductase; 2 Long-chain alcohol + Oxygen <=> 2 Long-chain aldehyde + 2 H2O	2 Long-chain alcohol + Oxygen <=> 2 Long-chain aldehyde + 2 H2O
R00042	4-hydroxyphenylpyruvate:oxygen oxidoreductase (decarboxylating)	C01179 + C00007	C00642 + C00011	2 C01179 + C00007 <=> 2 C00642 + 2 C00011	4-hydroxyphenylpyruvate:oxygen oxidoreductase (decarboxylating); 2 3-(4-Hydroxyphenyl)pyruvate + Oxygen <=> 2 4-Hydroxyphenylacetate + 2 CO2	2 3-(4-Hydroxyphenyl)pyruvate + Oxygen <=> 2 4-Hydroxyphenylacetate + 2 CO2
R00043	1,2-bis(4-hydroxy-3-methoxyphenyl)ethylene:oxygen oxidoreductase (alpha-beta-bond-cleaving)	C04547 + C00007	C00755	C04547 + C00007 <=> 2 C00755	1,2-bis(4-hydroxy-3-methoxyphenyl)ethylene:oxygen oxidoreductase (alpha-beta-bond-cleaving); 1,2-Bis(4-hydroxy-3-methoxyphenyl)ethylene + Oxygen <=> 2 4-Hydroxy-3-methoxy-benzaldehyde	1,2-Bis(4-hydroxy-3-methoxyphenyl)ethylene + Oxygen <=> 2 4-Hydroxy-3-methoxy-benzaldehyde
R00044	columbamine:oxygen oxidoreductase (cyclizing)	C01795 + C00007	C00757 + C00001	2 C01795 + C00007 <=> 2 C00757 + 2 C00001	columbamine:oxygen oxidoreductase (cyclizing); 2 Columbamine + Oxygen <=> 2 Berberine + 2 H2O	2 Columbamine + Oxygen <=> 2 Berberine + 2 H2O
R00045	3,4-dihydroxy-L-phenylalanine:oxygen oxidoreductase	C00007 + C00355	C00822 + C00001	C00007 + 2 C00355 <=> 2 C00822 + 2 C00001	3,4-dihydroxy-L-phenylalanine:oxygen oxidoreductase; Oxygen + 2 3,4-Dihydroxy-L-phenylalanine <=> 2 Dopaquinone + 2 H2O	Oxygen + 2 3,4-Dihydroxy-L-phenylalanine <=> 2 Dopaquinone + 2 H2O
R00047	6-hydroxynicotinate,hydrogen-donor:oxygen oxidoreductase (3-hydroxylating, decarboxylating)	C00007 + C01020 + C00030	C01059 + C00011 + C00028 + C00001	C00007 + C01020 + C00030 <=> C01059 + C00011 + C00028 + C00001	6-hydroxynicotinate,hydrogen-donor:oxygen oxidoreductase (3-hydroxylating, decarboxylating); Oxygen + 6-Hydroxynicotinate + Reduced acceptor <=> 2,5-Dihydroxypyridine + CO2 + Acceptor + H2O	Oxygen + 6-Hydroxynicotinate + Reduced acceptor <=> 2,5-Dihydroxypyridine + CO2 + Acceptor + H2O
R00048	(R)-3-((R)-3-hydroxybutanoyloxy)-butanoate hydroxybutanoylhydrolase	C04546 + C00001	C01089	C04546 + C00001 <=> 2 C01089	(R)-3-((R)-3-hydroxybutanoyloxy)-butanoate hydroxybutanoylhydrolase; (R)-3-((R)-3-Hydroxybutanoyloxy)butanoate + H2O <=> 2 (R)-3-Hydroxybutanoate	(R)-3-((R)-3-Hydroxybutanoyloxy)butanoate + H2O <=> 2 (R)-3-Hydroxybutanoate
R00049	1-O-galloyl-beta-D-glucose:1-O-galloyl-beta-D-glucose O-galloyltransferase	C01158	C00031 + C04101	2 C01158 <=> C00031 + C04101	1-O-galloyl-beta-D-glucose:1-O-galloyl-beta-D-glucose O-galloyltransferase; 2 1-O-Galloyl-beta-D-glucose <=> D-Glucose + 1-O,6-O-Digalloyl-beta-D-glucose	2 1-O-Galloyl-beta-D-glucose <=> D-Glucose + 1-O,6-O-Digalloyl-beta-D-glucose
R00052	chloride:hydrogen-peroxide oxidoreductase	C00027 + C01371 + C01327	C01334 + C00001	C00027 + C01371 + C01327 <=> C01334 + 2 C00001	chloride:hydrogen-peroxide oxidoreductase; Hydrogen peroxide + Alkane + Hydrochloric acid <=> RCl + 2 H2O	Hydrogen peroxide + Alkane + Hydrochloric acid <=> RCl + 2 H2O
R00053	digallate acylhydrolase;	C01572 + C00001	C01424	C01572 + C00001 <=> 2 C01424	digallate acylhydrolase; tannin acylhydrolase; Digallate + H2O <=> 2 Gallate	Digallate + H2O <=> 2 Gallate
R00054	orsellinate-depside hydrolase	C02868 + C00001	C01839	C02868 + C00001 <=> 2 C01839	orsellinate-depside hydrolase; Lecanoric acid + H2O <=> 2 Orsellinate	Lecanoric acid + H2O <=> 2 Orsellinate
R00055	inosine:oxygen 5'-oxidoreductase	C00294 + C00007	C01993 + C00001	2 C00294 + C00007 <=> 2 C01993 + 2 C00001	inosine:oxygen 5'-oxidoreductase; 2 Inosine + Oxygen <=> 2 5'-Oxoinosine + 2 H2O	2 Inosine + Oxygen <=> 2 5'-Oxoinosine + 2 H2O
R00056	dinucleotide nucleotidohydrolase	C01910 + C00001	C02171	C01910 + C00001 <=> 2 C02171	dinucleotide nucleotidohydrolase; Dinucleotide + H2O <=> 2 Mononucleotide	Dinucleotide + H2O <=> 2 Mononucleotide
R00057	thiol:oxygen oxidoreductase	C00007 + C01525	C02318 + C00027	C00007 + 2 C01525 <=> C02318 + C00027	thiol:oxygen oxidoreductase; Oxygen + 2 R'C(R)SH <=> R'C(R)S-S(R)CR' + Hydrogen peroxide	Oxygen + 2 R'C(R)SH <=> R'C(R)S-S(R)CR' + Hydrogen peroxide
R00058	catechol:oxygen oxidoreductase;	C00007 + C00090	C02351 + C00001	C00007 + 2 C00090 <=> 2 C02351 + 2 C00001	catechol:oxygen oxidoreductase; 1,2-benzenediol:oxygen oxidoreductase; Oxygen + 2 Catechol <=> 2 o-Benzoquinone + 2 H2O	Oxygen + 2 Catechol <=> 2 o-Benzoquinone + 2 H2O
R00059	N-(6-aminohexanoyl)-6-aminohexanoate amidohydrolase	C01255 + C00001	C02378	C01255 + C00001 <=> 2 C02378	N-(6-aminohexanoyl)-6-aminohexanoate amidohydrolase; N-(6-Aminohexanoyl)-6-aminohexanoate + H2O <=> 2 6-Aminohexanoate	N-(6-Aminohexanoyl)-6-aminohexanoate + H2O <=> 2 6-Aminohexanoate
R00060	sulochrin:oxygen oxidoreductase (cyclizing, (+)-specific)	C00007 + C00495	C03036 + C00001	C00007 + 2 C00495 <=> 2 C03036 + 2 C00001	sulochrin:oxygen oxidoreductase (cyclizing, (+)-specific); Oxygen + 2 Sulochrin <=> 2 (+)-Bisdechlorogeodin + 2 H2O	Oxygen + 2 Sulochrin <=> 2 (+)-Bisdechlorogeodin + 2 H2O
R00061	sulochrin:oxygen oxidoreductase (cyclizing, (-)-specific)	C00007 + C00495	C03040 + C00001	C00007 + 2 C00495 <=> 2 C03040 + 2 C00001	sulochrin:oxygen oxidoreductase (cyclizing, (-)-specific); Oxygen + 2 Sulochrin <=> 2 (-)-Bisdechlorogeodin + 2 H2O	Oxygen + 2 Sulochrin <=> 2 (-)-Bisdechlorogeodin + 2 H2O
R00062	bilirubin-glucuronoside:bilirubin-glucuronoside D-glucuronosyltransferase	C03374	C00486 + C05787	2 C03374 <=> C00486 + C05787	bilirubin-glucuronoside:bilirubin-glucuronoside D-glucuronosyltransferase; 2 Bilirubin-glucuronoside <=> Bilirubin + Bilirubin beta-diglucuronide	2 Bilirubin-glucuronoside <=> Bilirubin + Bilirubin beta-diglucuronide
R00063	1-O-sinapoyl-beta-D-glucose:1-O-sinapoyl-beta-D-glucose 1-O-sinapoyltransferase;	C01175	C04275 + C00031	2 C01175 <=> C04275 + C00031	1-O-sinapoyl-beta-D-glucose:1-O-sinapoyl-beta-D-glucose 1-O-sinapoyltransferase; 1-O-(4-hydroxy-3,5-dimethoxycinnamoyl)-beta-D-glucoside:1-O-(4-hydroxy-3,5-dimethoxycinnamoyl-beta-D-glucoside 1-O-sinapoyltransferase; 2 1-O-Sinapoyl-beta-D-glucose <=> 1,2-Bis-O-sinapoyl-beta-D-glucose + D-Glucose	2 1-O-Sinapoyl-beta-D-glucose <=> 1,2-Bis-O-sinapoyl-beta-D-glucose + D-Glucose
R00066	6,7-dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)lumazine 2,3-butanediyltransferase	C04332	C00255 + C04732	2 C04332 <=> C00255 + C04732	6,7-dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)lumazine 2,3-butanediyltransferase; 2 6,7-Dimethyl-8-(D-ribityl)lumazine <=> Riboflavin + 5-Amino-6-(1-D-ribitylamino)uracil	2 6,7-Dimethyl-8-(D-ribityl)lumazine <=> Riboflavin + 5-Amino-6-(1-D-ribitylamino)uracil
R00067	reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)	C05359 + C00080	C00282	2 C05359 + 2 C00080 <=> C00282	reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing); 2 e- + 2 H+ <=> Hydrogen	2 e- + 2 H+ <=> Hydrogen
R00068	L-ascorbate:oxygen oxidoreductase	C00007 + C00072	C05422 + C00001	C00007 + 2 C00072 <=> 2 C05422 + 2 C00001	L-ascorbate:oxygen oxidoreductase; Oxygen + 2 Ascorbate <=> 2 Dehydroascorbate + 2 H2O	Oxygen + 2 Ascorbate <=> 2 Dehydroascorbate + 2 H2O
R00069	4-imidazolone-5-propanoate:oxygen oxidoreductase	C05565 + C00027	C03680 + C00007 + C00001	C05565 + C00027 <=> C03680 + C00007 + C00001	4-imidazolone-5-propanoate:oxygen oxidoreductase; Hydantoin-5-propionate + Hydrogen peroxide <=> 4-Imidazolone-5-propanoate + Oxygen + H2O	Hydantoin-5-propionate + Hydrogen peroxide <=> 4-Imidazolone-5-propanoate + Oxygen + H2O
R00070	D-urobilinogen:oxygen oxidoreductase	C05791 + C00007	C05795 + C00001	2 C05791 + C00007 <=> 2 C05795 + 2 C00001	D-urobilinogen:oxygen oxidoreductase; 2 D-Urobilinogen + Oxygen <=> 2 D-Urobilin + 2 H2O	2 D-Urobilinogen + Oxygen <=> 2 D-Urobilin + 2 H2O
R00072	thiamine-aldehyde:oxygen 5-oxidoreductase	C05856 + C00007 + C00001	C00027 + C02892	C05856 + C00007 + C00001 <=> C00027 + C02892	thiamine-aldehyde:oxygen 5-oxidoreductase; Thiamine aldehyde + Oxygen + H2O <=> Hydrogen peroxide + Thiamine acetic acid	Thiamine aldehyde + Oxygen + H2O <=> Hydrogen peroxide + Thiamine acetic acid
R00073	reduced acceptor:prostaglandin G2 oxidoreductase	C00427 + C00028 + C00001	C05956 + C00030	C00427 + C00028 + C00001 <=> C05956 + C00030	reduced acceptor:prostaglandin G2 oxidoreductase; Prostaglandin H2 + Acceptor + H2O <=> Prostaglandin G2 + Reduced acceptor	Prostaglandin H2 + Acceptor + H2O <=> Prostaglandin G2 + Reduced acceptor
R00074	2-aminophenol:oxygen oxidoreductase (dimerizing)	C01987 + C00007	C02161 + C00001	4 C01987 + 3 C00007 <=> 2 C02161 + 6 C00001	2-aminophenol:oxygen oxidoreductase (dimerizing); 4 2-Aminophenol + 3 Oxygen <=> 2 2-Aminophenoxazin-3-one + 6 H2O	4 2-Aminophenol + 3 Oxygen <=> 2 2-Aminophenoxazin-3-one + 6 H2O
R00075	S-adenosyl-L-methionine:S-adenosyl-L-methionine 3-amino-3-carboxypropyltransferase	C00019	C00170 + C05324	3 C00019 <=> 3 C00170 + C05324	S-adenosyl-L-methionine:S-adenosyl-L-methionine 3-amino-3-carboxypropyltransferase; 3 S-Adenosyl-L-methionine <=> 3 5'-Methylthioadenosine + Nicotianamine	3 S-Adenosyl-L-methionine <=> 3 5'-Methylthioadenosine + Nicotianamine
R00076	ATP:phosphorylase-b phosphotransferase;	C00002 + C02308	C00008 + C02307	4 C00002 + 2 C02308 <=> 4 C00008 + C02307	ATP:phosphorylase-b phosphotransferase; ATP:[glycogen phosphorylase] phosphotransferase; 4 ATP + 2 Phosphorylase b <=> 4 ADP + Phosphorylase a	4 ATP + 2 Phosphorylase b <=> 4 ADP + Phosphorylase a
R00077	[phosphorylase a] phosphohydrolase;	C02307 + C00001	C02308 + C00009	C02307 + 4 C00001 <=> 2 C02308 + 4 C00009	[phosphorylase a] phosphohydrolase; [glycogen phosphorylase] phosphohydrolase; Phosphorylase a + 4 H2O <=> 2 Phosphorylase b + 4 Orthophosphate	Phosphorylase a + 4 H2O <=> 2 Phosphorylase b + 4 Orthophosphate
R00078	Fe(II):oxygen oxidoreductase;	C00007 + C14818 + C00080	C14819 + C00001	C00007 + 4 C14818 + 4 C00080 <=> 4 C14819 + 2 C00001	Fe(II):oxygen oxidoreductase; Fe2+:oxygen oxidoreductase; Oxygen + 4 Fe2+ + 4 H+ <=> 4 Fe3+ + 2 H2O	Oxygen + 4 Fe2+ + 4 H+ <=> 4 Fe3+ + 2 H2O
R00080	catechol:oxygen oxidoreductase (dimerizing)	C00090 + C00007	C00001 + C03861	4 C00090 + 3 C00007 <=> 6 C00001 + 2 C03861	catechol:oxygen oxidoreductase (dimerizing); 4 Catechol + 3 Oxygen <=> 6 H2O + 2 Dibenzo[1,4]dioxin-2,3-dione	4 Catechol + 3 Oxygen <=> 6 H2O + 2 Dibenzo[1,4]dioxin-2,3-dione
R00081	ferrocytochrome-c:oxygen oxidoreductase	C00007 + C00126 + C00080	C00125 + C00001 + C00080	C00007 + 4 C00126 + 8 C00080 <=> 4 C00125 + 2 C00001 + 4 C00080	ferrocytochrome-c:oxygen oxidoreductase; Oxygen + 4 Ferrocytochrome c + 8 H+ <=> 4 Ferricytochrome c + 2 H2O + 4 H+	Oxygen + 4 Ferrocytochrome c + 8 H+ <=> 4 Ferricytochrome c + 2 H2O + 4 H+
R00082	ferrocytochrome c2:oxygen oxidoreductase	C00007 + C01000	C00997 + C00001	C00007 + 4 C01000 <=> 4 C00997 + 2 C00001	ferrocytochrome c2:oxygen oxidoreductase; Oxygen + 4 Ferrocytochrome c2 <=> 4 Ferricytochrome c2 + 2 H2O	Oxygen + 4 Ferrocytochrome c2 <=> 4 Ferricytochrome c2 + 2 H2O
R00083	benzenediol:oxygen oxidoreductase	C00007 + C01785	C05309 + C00001	C00007 + 4 C01785 <=> 4 C05309 + 2 C00001	benzenediol:oxygen oxidoreductase; Oxygen + 4 Benzenediol <=> 4 Semiquinone + 2 H2O	Oxygen + 4 Benzenediol <=> 4 Semiquinone + 2 H2O
R00084	porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing);	C00931 + C00001	C01024 + C00014	4 C00931 + C00001 <=> C01024 + 4 C00014	porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing); porphobilinogen ammonia-lyase (polymerizing); 4 Porphobilinogen + H2O <=> Hydroxymethylbilane + 4 Ammonia	4 Porphobilinogen + H2O <=> Hydroxymethylbilane + 4 Ammonia
R00085	ATP diphosphohydrolase (phosphate-forming)	C00002 + C00001	C00020 + C00009	C00002 + 2 C00001 <=> C00020 + 2 C00009	ATP diphosphohydrolase (phosphate-forming); ATP + 2 H2O <=> AMP + 2 Orthophosphate	ATP + 2 H2O <=> AMP + 2 Orthophosphate
R00086	ATP phosphohydrolase	C00002 + C00001	C00008 + C00009	C00002 + C00001 <=> C00008 + C00009	ATP phosphohydrolase; ATP + H2O <=> ADP + Orthophosphate	ATP + H2O <=> ADP + Orthophosphate
R00087	ATP diphosphohydrolase (diphosphate-forming);	C00002 + C00001	C00020 + C00013	C00002 + C00001 <=> C00020 + C00013	ATP diphosphohydrolase (diphosphate-forming); ATP pyrophosphohydrolase; ATP + H2O <=> AMP + Diphosphate	ATP + H2O <=> AMP + Diphosphate
R00088	ATP aminohydrolase	C00002 + C00001	C00081 + C00014	C00002 + C00001 <=> C00081 + C00014	ATP aminohydrolase; ATP + H2O <=> ITP + Ammonia	ATP + H2O <=> ITP + Ammonia
R00089	ATP diphosphate-lyase (cyclizing; 3',5'-cyclic-AMP-forming)	C00002	C00575 + C00013	C00002 <=> C00575 + C00013	ATP diphosphate-lyase (cyclizing; 3',5'-cyclic-AMP-forming); ATP <=> 3',5'-Cyclic AMP + Diphosphate	ATP <=> 3',5'-Cyclic AMP + Diphosphate
